迁出省份,迁出城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
四川省,成都市,0.63,0.65,0.56,0.55,0.48,0.5,0.5,0.63,0.55,0.51,0.57,0.58,0.67,0.54,0.72,0.69,0.69,0.71,0.63,0.73,0.75,0.67,0.76,0.95,0.92,0.92,0.63,0.6,0.48
安徽省,合肥市,0.62,0.64,0.52,0.53,0.47,0.47,0.5,0.61,0.53,0.48,0.56,0.57,0.6,0.5,0.63,0.58,0.67,0.71,0.6,0.7,0.74,0.67,0.74,0.87,0.79,0.89,0.58,0.6,0.46
江西省,南昌市,0.61,0.64,0.52,0.53,0.46,0.44,0.49,0.5,0.51,0.48,0.47,0.55,0.49,0.49,0.58,0.52,0.58,0.63,0.51,0.67,0.63,0.64,0.74,0.82,0.77,0.78,0.57,0.56,0.46
广东省,佛山市,0.57,0.61,0.5,0.52,0.46,0.38,0.46,0.49,0.47,0.47,0.47,0.52,0.46,0.48,0.57,0.5,0.55,0.6,0.51,0.62,0.61,0.61,0.72,0.74,0.77,0.77,0.55,0.54,0.44
河南省,驻马店市,0.55,0.6,0.5,0.46,0.45,0.37,0.45,0.46,0.45,0.46,0.45,0.47,0.43,0.39,0.54,0.47,0.52,0.57,0.5,0.58,0.6,0.59,0.67,0.72,0.72,0.76,0.54,0.53,0.43
广东省,中山市,0.54,0.59,0.47,0.45,0.44,0.36,0.42,0.44,0.45,0.43,0.41,0.45,0.42,0.38,0.51,0.47,0.52,0.53,0.48,0.55,0.59,0.57,0.67,0.7,0.69,0.7,0.54,0.5,0.43
安徽省,芜湖市,0.53,0.55,0.46,0.44,0.43,0.35,0.42,0.43,0.41,0.42,0.4,0.43,0.42,0.37,0.45,0.45,0.52,0.48,0.48,0.52,0.59,0.53,0.63,0.68,0.67,0.62,0.52,0.45,0.4
广东省,惠州市,0.53,0.55,0.42,0.42,0.42,0.33,0.41,0.4,0.4,0.41,0.37,0.4,0.4,0.35,0.43,0.43,0.5,0.44,0.47,0.51,0.59,0.53,0.59,0.63,0.65,0.55,0.51,0.43,0.4
江苏省,苏州市,0.5,0.5,0.42,0.36,0.39,0.33,0.39,0.4,0.36,0.4,0.37,0.37,0.4,0.35,0.42,0.42,0.43,0.43,0.46,0.5,0.56,0.52,0.58,0.59,0.59,0.52,0.47,0.37,0.4
河南省,洛阳市,0.48,0.49,0.31,0.34,0.32,0.33,0.38,0.4,0.35,0.39,0.36,0.35,0.39,0.35,0.38,0.42,0.38,0.42,0.44,0.48,0.54,0.49,0.55,0.58,0.53,0.51,0.45,0.37,0.39
